Index|Afrikaans|Albanais|Allemand|Anglais|Arabe|Azéri|Basque|Biélorusse|Bosniaque|Bulgare|Catalan|Cebuano|Chichewa|Corse|Créole haïtien|Croate|Danois|Espagnol|Espéranto|Estonien|Finnois|Français|Frison|Gaélique (Écosse)|Galicien|Gallois|Grec|Haoussa|Hawaïen|Hmong|Hongrois|Igbo|Indonésien|Irlandais|Islandais|Italien|Javanais|Kazakh|Kinyarwanda|Kirghiz|Kurde|Latin|Letton|Lituanien|Luxembourgeois|Macédonien|Malaisien|Malgache|Maltais|Maori|Mongol|Néerlandais|Norvégien|Ouïgour|Ouzbek|Pachtô|Persan|Philippin|Polonais|Portugais|Roumain|Russe|Samoan|Serbe|Sesotho|Shona|Sindhî|Slovaque|Slovène|Somali|Soundanais|Suédois|Swahili|Tadjik|Tatar|Tchèque|Turc|Turkmène|Ukrainien|Urdu|Vietnamien|Xhosa|Yorouba|Zoulou
child|kind|fëmijë|Kind|child|طفل|uşaq|ume|дзіця|dijete|дете|nen|bata|mwana|zitellu|pitit|dijete|barn|niño|infano|laps|lapsi|enfant|bern|leanabh|neno|plentyn|παιδί|yaro|keiki|menyuam|gyermek|nwa|anak|leanbh|barn|bambino|bocah|бала|umwana|бала|zarok|puer|bērns|vaikas|Kand|дете|anak|ZAZA|tifel|tamaiti|хүүхэд|kind|barn|بالا|bola|ماشوم|کودک|anak|dziecko|filho|copil|ребенок|tamaititi|дете|ngoana|mwana|ٻار|dieťa|otrok|cunug|anaking|barn|mtoto|кӯдак|бала|dítě|çocuk|Çaga|дитина|بچہ|đứa trẻ|umntwana|ọmọ|ingane
wife|vrou|gruaja|Ehefrau|wife|زوجة|arvad|emaztea|жонка|supruga|съпруга|dona|asawa|mkazi|moglia|madanm|žena|kone|esposa|edzino|naine|vaimo|épouse|frou|bean|esposa|Gwraig|γυναίκα|matar|wahine|tus poj niam|feleség|nwunye|istri|bean chéile|kona|moglie|garwa|әйелі|umugore|аялы|jin|uxorem|sieva|žmona|Fra|сопруга|isteri|VADY|mara|wahine|эхнэр|vrouw|kone|ئايالى|xotin|ښځه|همسر|asawa|żona|esposa|soție|жена|ava|жена|mosali|mukadzi|زال|manželka|žena|xaas|pamajikan|fru|mke|зан|хатыны|manželka|kadın eş|aýaly|дружина|بیوی|người vợ|umfazi|iyawo|unkosikazi
husband|man|burri|Mann|husband|الزوج|ər|senarra|муж|muž|съпруг|marit|bana|mwamuna|maritu|mari|suprug|mand|esposo|edzo|abikaasa|aviomies|mari|man|cèile|marido|gwr|σύζυγος|miji|kāne|tus txiv|férj|di|Suami|fear céile|eiginmaður|marito|bojo lanang|күйеу|umugabo|күйөө|mêr|vir|vīrs|vyras|Mann|сопруг|suami|lehilahy|raġel|tane|нөхөр|man|ektemann|ئېرى|er|میړه|شوهر|asawa|mąż|esposo|soț|муж|tane|муж|monna|murume|مڙس|manžel|mož|nin|carogé|Make|mume|шавҳар|ир|manžel|koca|adamsy|чоловік|شوہر|người chồng|umyeni|ọkọ|umyeni
mother|moeder|nëna|Mutter|mother|أم|ana|ama|маці|majko|майка|mare|inahan|mayi|mamma|manman|majka|mor|mamá|patrino|ema|äiti|mère|mem|màthair|nai|mam|μητέρα|uwa|makuahine|niam|anya|nne|ibu|Máthair|móðir|madre|ibu|ана|nyina|эне|dê|mater|māte|motina|Mamm|мајка|ibu|rENY|omm|whaea|ээж|moeder|mor|ئانا|Ona|مور|مادر|ina|matka|mãe|mamă|мама|tina|мајко|mme|Amai|ماء|matka|mati|hooyo|indung|mor|mama|модар|әни|matka|anne|ejesi|мати|ماں|mẹ|umama|iya|umama
father|vader|babai|Vater|father|الآب|ata|aita|бацька|oče|баща|pare|amahan|bambo|babbu|papa|otac|far|padre|patro|isa|isä|père|heit|athair|pai|tad|πατέρας|uba|makuakāne|txiv|apa|nna|ayah|athair|faðir|padre|bapak|әке|se|Ата|bav|pater|tēvs|tėvas|Papp|татко|bapa|ray|missier|papa|аав|vader|far|دادىسى|ota|پلار|پدر|ama|ojciec|pai|Tată|отец|tama|оче|ntate|baba|پيء|otec|oče|aabe|bapa|far|baba|падар|әтисе|otec|baba|kakasy|батько|باپ|bố|utata|baba|ubaba
animal|dier|kafshë|Tier|animal|حيوان|heyvan|animalia|жывёла|životinja|животно|animal|hayop|nyama|animale|bèt|životinja|dyr|animal|besto|loom|eläin|animal|bist|beathach|animal|anifail|ζώο|dabba|holoholona|tsiaj|állat|anụmanụ|satwa|ainmhí|dýr|animale|kewan|жануар|inyamaswa|жаныбар|teba|animalis,|dzīvnieks|gyvūnas|Déier|животно|haiwan|biby|annimal|kararehe|амьтан|dier|dyr|ھايۋان|hayvon|ځناور|حیوان|hayop|zwierzę|animal|animal|животное|manu|животиња|phoofolo|mhuka|حيوان|zviera|žival|xayawaan|sato|djur-|mnyama|ҳайвон|хайван|zvíře|hayvan|haýwan|тварина|جانور|thú vật|isilwanyana|ẹranko|isilwane
fish|vis|peshk|Fisch|fish|سمكة|balıq|arrainak|рыба|riba|риба|peix|isda|nsomba|pesciu|pwason|riba|fisk|pescado|fiŝo|kala|kalastaa|poisson|fisk|èisg|peixe|pysgod|ψάρι|kifi|iʻa|ntses|hal|azụ|ikan|iasc|fiskur|pesce|iwak|балық|amafi|балык|masî|piscis|zivis|žuvis|Fësch|Риба|ikan|TRONDRO|ħut|ika|загас|vis|fisk|بېلىق|baliq|کب|ماهی|isda|ryba|peixe|peşte|рыбы|iʻa|риба|litlhapi|hove|مڇي|ryby|ribe|kalluunka|lauk|fisk|samaki|моҳӣ|балык|Ryba|balık|balyk|риба|مچھلی|cá|intlanzi|eja|inhlanzi
bird|voël|zog|Vogel|bird|الطير|quş|txoria|птушка|ptice|птица|ocell|langgam|mbalame|acellu|zwazo|ptica|fugl|pájaro|birdo|lind|lintu|oiseau|fûgel|eun|paxaro|aderyn|πουλί|tsuntsu|manu|noog|madár|nnụnụ|burung|éan|fugl|uccello|manuk|құс|inyoni|куш|teyr|avem|putns|paukštis|Vugel|птица|burung|vorona|għasfur|manu|шувуу|vogel|fugl|قۇش|qush|مرغۍ|پرنده|ibon|ptak|pássaro|pasăre|птица|manulele|птице|nonyana|shiri|پکي|vták|ptica|shimbir|manuk|fågel|ndege|парранда|кош|pták|kuş|guş|птах|پرندہ|chim|intaka|eye|inyoni
dog|hond|qen|Hund|dog|كلب|it|txakurra|сабака|pas|куче|gos|iro|galu|cane|chen|pas|hund|perro|hundo|koer|koira|chien|hûn|cù|can|ci|σκύλος|kare|ʻīlio|aub|kutya|nkịta|anjing|madra|hundur|cane|asu|ит|imbwa|ит|seh|canis|suns|šuo|Hond|куче|anjing|amboa|kelb|kurī|нохой|hond|hund|ئىت|it|سپی|سگ|aso|pies|cão|câine|собака|maile|пас|ntja|imbwa|ڪُتو|pes|pes|Eey|anjing|hund|mbwa|саг|эт|Pes|köpek|it|собака|کتا|chó|inja|aja|inja
louse|luis|morri|Laus|louse|قملة|qarışıq|zorria|вош|uš|въшка|poll|louse|nsabwe|pidochju|pou|uš|lus|piojo|laŭso|täid|täi|pou|lús|louse|piollo|lleuen|ψείρα|ɓarawo|louse|cov tawv tsiaj|tetű|igwu|kutu|louse|lús|pidocchio|louse|қылшық|louse|louse|spî|alio pediculum,|utis|utėlė|Laus|вошка|kutu|hao|qamel|riihi|гялтан|luis|lus|louse|suyak|ښکته|شپش|kuto|wesz|piolho|păduche|вошь|louse|уш|lerutle|inda|لوز|voš|uš|injir|louse|lus|chawa|louse|лус|veš|bit|louse|воша|لاؤس|con rận|intwala|eṣú|intwala
snake|slang|gjarpër|Schlange|snake|ثعبان|ilan|sugea|змяя|zmija|змия|serp|bitin|njoka|serpu|koulèv|zmija|slange|serpiente|serpento|madu|käärme|serpent|slang|nathair|serpe|neidr|φίδι|maciji|nahesa|nraug sis nab|kígyó|agwo|ular|nathair|snákur|serpente|ula|жылан|inzoka|жылан|mar|anguis|čūska|gyvatė|Schlaang|змија|ular|MENARANA|serp|nakahi|могой|slang|slange|يىلان|ilon|مار|مار|ahas|wąż|cobra|şarpe|змея|gata|змија|noha|nyoka|نانگ|had|kača|mas|oray|orm|nyoka|мор|елан|had|yılan|ýylan|змія|سانپ|con rắn|inyoka|ejò|inyoka
worm|wurm|krimb|Wurm|worm|الفيروس المتنقل|qurd|harra|чарвяк|crv|червей|cuc|ulod|nyongolotsi|vermu|vè k'ap manje kadav|crv|orm|gusano|vermo|uss|mato|Ver de terre|wjirm|cnuimh|verme|abwydyn|σκουλήκι|tsutsa|ilo|cab|féreg|irighiri|cacing|péiste|ormur|verme|cacing|құрт|inyo|курт|kûrm|ubi vermis|tārps|kirminas|Wuerm|црв|cacing|kankana|dudu|kutukutu|өт|worm|mark|قۇرت|qurt|چينجي|کرم|bulate|robak|Minhoca|vierme|червь|anufe|црв|seboko|honye|ڪريم|červ|črv|dixirigoodu|cacing|mask|mdudu|кирм|корт|červ|solucan|gurçuk|черв'як|کیڑا|sâu|umbungu|aran|isibungu
tree|boom|pemë|Baum|tree|شجرة|ağac|zuhaitza|дрэва|drvo|дърво|arbre|kahoy|mtengo|arburu|pyebwa|stablo|træ|árbol|arbo|puu|puu|arbre|beam|craobh|árbore|coeden|δέντρο|itace|kumulāʻau|ntoo|fa|osisi|pohon|crann|tré|albero|wit|ағаш|igiti|дарак|dar|Arbor|koks|medis|Bam|дрво|pokok|HAZO|siġra|rakau|мод|boom|tre|دەرەخ|daraxt|ونه|درخت|puno|drzewo|árvore|copac|дерево|laau|дрво|sefate|muti|وڻ|strom|drevo|geed|tangkal|träd|mti|дарахт|агач|strom|ağaç|agaç|дерево|درخت|cây|umthi|igi|isihlahla
forest|bos|pyll|Wald|forest|غابة|meşə|basoa|лес|šuma|гора|bosc|lasang|nkhalango|furesta|forè|šuma|Skov|bosque|arbaro|mets|metsä|forêt|wâld|coille|bosque|goedwig|δάσος|gandun daji|ululaau|hav zoov|erdő|ohia|hutan|foraoise|skógur|foresta|alas|орман|ishyamba|токой|daristan|silva|mežs|miškas|Bësch|шума|hutan|ALA|foresta|ngahere|ой|Woud|skog|ئورمان|o'rmon|ځنګل|جنگل|gubat|las|floresta|pădure|лес|togavao|шума|moru|sango|ٻيلو|les|gozd|kaynta|leuweung|skog|msitu|ҷангал|урман|les|orman|tokaý|ліс|جنگل|rừng|ihlathi|igbo|ihlathi
stick|vashou|shkop|Stock|stick|عصا|qalmaq|makila|палка|štap|пръчка|pal|sungkod|ndodo|bastone|baton|štap|Pind|palo|bastono|kinni|keppi|coller|stôk|bata|pau|ffon|ραβδί|sanda|lāʻau|lo|rúd|osisi|tongkat|bata|stafur|bastone|teken|таяқ|inkoni|таяк|dar|lignum unum,|nūja|pagaliukas|stiechen|стап|tongkat|tapa-kazo|twaħħal|rakau|саваа|stok|pinne|تاياق|tayoq|چپنه|چوب|patpat|kij|bastão|băț|палка|laau|штап|thupa|tsvimbo|لٺ|palica|palico|dheji|iteuk|pinne|fimbo|чӯб|таяк|lepit|Çubuk|taýak|палиця|چھڑی|gậy|intonga|duro lori|induku
fruit|vrugte|fruta|Obst|fruit|فاكهة|meyvə|fruta|садавіна|voće|плодове|fruita|prutas|zipatso|fruttu|fwi|voće|frugt|Fruta|frukto|puu|hedelmiä|fruit|fruit|measan|froita|ffrwyth|καρπός|ya'yan itace|huaʻai|txiv ntoo|gyümölcs|mkpụrụ osisi|buah|torthaí|ávexti|frutta|buah|жеміс|imbuto|жемиш|mêwe|fructus|augļi|vaisius|Uebst|овошје|buah|voankazo|frott|hua|жимс|fruit|frukt|مېۋە|meva|میوه|میوه|prutas|owoc|fruta|fructe|фрукты|fualaʻau|воће|litholoana|michero|ميوا|ovocie|sadje|miro|buah|frukt|matunda|мева|җимеш|ovoce|meyve|miwe|фрукти|پھل|trái cây|isiqhamo|eso|izithelo
seed|saad|farë|Samen|seed|بذرة|toxum|hazia|насенне|sjeme|семе|llavor|binhi|mbewu|sumente|grenn|sjeme|frø|semilla|semo|seeme|siemenet|planter|sied|sìol|semente|Hedyn|σπόρος|iri|hua kanu|noob|mag|mkpuru|benih|síol|fræ|seme|winih|тұқым|imbuto|үрөн|toxim|semen|sēklas|sėkla|Som|семка|biji|taranaka|żerriegħa|kākano|үр|zaad|frø|ئۇرۇق|urug '|تخم|دانه|binhi|nasionko|semente|sămânță|семя|fatu|семе|peo|mhodzi|ٻج|semienko|seme|abuur|siki|utsäde|mbegu|тухмӣ|орлык|semínko|tohum|tohum|насіння|بیج|hạt giống|imbewu|irugbin|imbewu
leaf|blaar|fletë|Blatt|leaf|ورقة الشجر|yarpaq|hostoa|ліст|list|лист|full|dahon|tsamba|foglia|fèy|list|blad|hoja|folio|leht|puun lehti|feuille|blêd|duilleach|folla|deilen|φύλλο|ganye|lau|nplooj ntoos|levél növényen|akwukwo|daun|duille|lauf|foglia|rwaning|жапырақ|ikibabi|жалбырак|pel|folium|lapu|lapelis|Blat|лист|daun|ravina|werqa|rau|навч|blad|blad|يوپۇرماق|barg|پا .ه|برگ|dahon|liść|Folha|frunze|лист|lau|Лист|lekhasi|shizha|پن|list|list|caleen|daun|blad|jani|барг|яфрак|list|Yaprak|ýaprak|лист|پتی|Lá cây|igqabi|ewe|iqabunga
root|wortel|rrënjë|Wurzel|root|جذر|kök|erroa|корань|root|корен|arrel|ugat|muzu|radica|rasin|korijen|rod|raíz|radiko|juur|juuri|racine|woartel|freumh|raíz|gwraidd|ρίζα|saiwa|kumu|hauv paus|gyökér|mgbọrọgwụ|akar|fréimhe|rót|radice|oyot|тамыр|umuzi|тамыр|reh|radix|sakne|šaknis|root|корен|akar|faka|għerq|pakiaka|үндэс|wortel|rot|root|ildiz|ریښه|ریشه|ugat|korzeń|raiz|rădăcină|корень|aa|корен|motso|mudzi|پاڙ|koreň|koren|xididka|akar|rot|mzizi|реша|тамыр|vykořenit|kök|kök|корінь|جڑ|nguồn gốc|ingcambu|gbongbo|impande
bark|blaf|leh|Borke|bark|لحاء الشجر|qabıqlamaq|zaunka|кара|kora|кора|escorça|bark|khungwa|scorcia|jape|kora|bark|ladrar|boji|koor|haukkua|aboyer|Blaf|rùsg|casca|rhisgl|φλοιός|haushi|ʻili|xyoob ntoo|ugat|ogbugbo|kulit|coirt|gelta|abbaiare|babakan|қабығы|bark|кабык|ewtînî|detractisque corticibus|miza|žievė|Schuel|кора|kulit kayu|hodi-kazo|qoxra|kiri|холтос|schors|bark|پوستى|qobiq|پوخ|پارس سگ|tumahol|szczekać|latido|latra|лаять|paʻu|лавеж|bohola|hukura|ڇڪ|štekať|lubje|jilif|babakan|bark|kubweka|аккос|кабык|kůra|bağırmak|gabyk|кора|چھال|sủa|ukukhonkotha|epo igi|ukukhonkotha
flower|blom|lule|Blume|flower|زهرة|çiçək|lorea|кветка|cvijet|цвете|flor|bulak|duwa|fiore|flè|cvijet|blomst|flor|floro|Lill|kukka|fleur|blom|flùr|flor|blodyn|λουλούδι|fure|pua|paj|virág|ifuru|bunga|bláth|blóm|fiore|kembang|гүл|indabyo|гүл|kûlîlk|flos|zieds|gėlė|Blumm|цвеќе|bunga|voninkazo|fjura|putiputi|цэцэг|bloem|blomst|گۈل|gul|ګل|گل|bulaklak|kwiat|Flor|floare|цветок|fugalaʻau|цвет|palesa|ruva|گل|kvetina|cvet|ubax|kembang|blomma|maua|гул|чәчәк|květ|çiçek|gül|квітка|پھول|bông hoa|intyatyambo|ododo|imbali
grass|gras|bar|Gras|grass|نجيل|ot|belarra|трава|trava|трева|herba|sagbot|udzu|erba|zèb|trava|græs|césped|herbo|rohi|ruoho|gazon|gers|feur|herba|glaswellt|γρασίδι|ciyawa|mauʻu|nyom|fű|ahịhịa|rumput|féar|gras|erba|suket|шөп|ibyatsi|чөп|gîha|herba|zāle|žolė|Gras|трева|rumput|ahitra|ħaxix|tarutaru|өвс|gras|gress|ئوت-چۆپ|o't|واښه|چمن|damo|trawa|Relva|iarbă|трава|mutia|трава|joang|huswa|گاهه|tráva|trava|cawska|jukut|gräs|nyasi|алаф|үлән|tráva|çim|ot|трави|گھاس|cỏ|ingca|koriko|utshani
rope|tou|litar|Seil|rope|حبل|ip|soka|вяроўка|uže|въже|corda|pisi|chingwe|corda|kòd|uže|reb|soga|ŝnuro|köis|köysi|corde|tou|ròp|corda|rhaff|σκοινί|igiya|kaula|txoj hlua|kötél|eriri|tali|téad|reipi|corda|tali|арқан|umugozi|аркан|werîs|funem|virve|virvė|Seel|јаже|tali|tady|ħabel|taura|олс|touw|tau|ئارغامچا|arqon|رسۍ|طناب|lubid|lina|corda|frânghie|веревка|maea|конопац|thapo|tambo|رسي|lano|vrv|xadhig|tali|rep|kamba|ресмон|аркан|lano|İp|ýüp|мотузка|رسی|dây thừng|intambo|okun|intambo
skin|vel|lëkurës|Haut|skin|بشرة|dəri|larruazala|скуры|kože|кожата|pell|panit|khungu|pelle|po|koža|hud|piel|haŭto|nahk|iho|peau|fel|craiceann|pel|croen|δέρμα|fata|ʻili|tawv nqaij|bőr|anụahụ|kulit|craiceann|húð|pelle|kulit|тері|uruhu|тери|çerm|pellis|āda|oda|Haut|кожата|kulit|hoditra|ġilda|kiri|арьс|huid|hud|تېرە|teri|پوټکی|پوست|balat|skóra|pele|piele|кожа|paʻu|коже|letlalo|ganda|چمڙي|koža|kožo|maqaarka|kulit|hud|ngozi|пӯст|тире|kůže|cilt|deri|шкіри|جلد|da|ulusu|awọ|isikhumba
meat|vleis|Mish|Fleisch|meat|لحم|ət|haragia|мяса|meso|месо|carn|karne|nyama|carne|vyann|meso|kød|carne|viando|liha|liha|Viande|fleis|feòil|carne|cig|κρέας|nama|ʻiʻo|nqaij|hús|anụ|daging|feoil|kjöt|carne|daging|ет|inyama|эт|goşt|cibum|gaļa|mėsa|Fleesch|месо|daging|hena|laħam|kai|мах|vlees|kjøtt|گۆش|go'sht|غوښه|گوشت|karne|mięso|eu no|carne|мясо|aano o manu|месо|nama|nyama|گوشت|mäso|meso|hilib|daging|kött|nyama|гӯшт|ит|maso|et|et|м'ясо|گوشت|thịt|inyama|Eran|inyama
blood|bloed|gjaku|Blut|blood|الدم|qan|odola|кроў|krv|кръв|sang|dugo|magazi|sangue|san|krv|blod|sangre|sango|veri|verta|du sang|bloed|fuil|sangue|gwaed|αίμα|jini|koko|ntshav|vér|ọbara|darah|fuil|blóð|sangue|getih|қан|maraso|кан|xwîn|sanguis|asinis|kraujas|Blutt|крв|darah|ra|demm|toto|цус|bloed|blod|قېنى|qon|وینه|خون|dugo|krew|sangue|sânge|кровь|toto|крв|mali|ropa|رت|krv|kri|dhiig|getih|blod|damu|хун|кан|krev|kan|gan|крові|خون|máu|igazi|ẹjẹ|igazi
bone|been|kocka|Knochen|bone|عظم|sümük|hezurra|костка|kost|костен|os|bukog|fupa|ossu|zo|kost|knogle|hueso|osto|luu|luu|OS|bonke|cnàmh|óso|asgwrn|οστό|kashi|iwi|pob txha|csont|ọkpụkpụ|tulang|cnámh|bein|osso|balung|сүйек|igufwa|сөөк|hestî|os|kauls|kaulas|Schanken|коска|tulang|taolana|għadam|kōiwi|яс|bot|bein|سۆڭەك|suyak|هډوکي|استخوان|buto|kość|osso|os|кость|ponaivi|кост|lesapo|pfupa|هڏو|kosť|kosti|laf|tulang|ben|mfupa|устухон|сөяк|kost|kemik|süňk|кістка|ہڈی|xương|ithambo|egungun|ithambo
fat|vet|yndyrë|Fett|fat|سمين|yağ|potolo|тлушч|debeo|дебел|greix|tambok|wonenepa|grassu|grès|mast|fed|grasa|dika|paks|rasvaa|gros|fet|geir|graxa|braster|Λίπος|mai|momona|rog|zsír|abụba|lemak|saille|feitur|Grasso|lemu|май|ibinure|май|rûn|crassus|tauki|riebus|Fett|дебели|lemak|matavy|xaħam|momona|өөх тос|dik|fett|ماي|yog '|غوړ|چربی|mataba|tłuszcz|gordo|gras|толстый|gaʻo|дебео|mafura|mafuta|چرٻي|tučný|maščobe|dufan|gendut|fett|mafuta|фарбеҳ|май|Tlustý|şişman|ýag|жиру|چربی|mập|amafutha|ọra|amafutha
egg|eier|veza|Ei|egg|بيضة|yumurta|arrautza|яйка|jaje|яйце|ou|itlog|dzira|ovu|ze|jaje|æg|huevo|ovo|muna|kananmuna|Oeuf|aai|ugh|ovo|wy|αυγό|kwai|huamoa|qe|tojás|akwa|telur|ubh|egg|uovo|endhog|жұмыртқа|amagi|жумуртка|hêk|ovum|olu|kiaušinis|Ee|јајце|telur|atody|bajda|hua manu|өндөг|ei|egg|تۇخۇم|tuxum|هګۍ|تخم مرغ|itlog|jajko|ovo|ou|яйцо|fuamoa|јаје|lehe|zai|بيضو|vajce|jajce|ukunta|endog|ägg|yai|тухм|йомырка|vejce|Yumurta|ýumurtga|яйце|انڈہ|trứng|iqanda|ẹyin|iqanda
horn|horing|bri|Horn|horn|بوق|buynuz|adarra|ражок|rog|рог|banya|sungay|nyanga|cornu|kòn|rog|horn|bocina|korno|sarv|sarvi|klaxon|hoarn|adharc|corno|corn|κέρατο|ƙaho|pepeiaohao|kub|kürt|opi|tanduk|adharc|horn|corno|tanduk|мүйіз|ihembe|мүйүз|qiloç|cornu|rags|ragas|Horn|рог|tanduk|tandroka|qarn|haona|эвэр|Hoorn|horn|مۈڭگۈز|shox|سینګ|شیپور|sungay|róg|buzina|corn|Рог|pu|рог|lenaka|nyanga|هار|roh|rog|gees|tanduk|horn|pembe|шох|мөгез|roh|Boynuz|şah|ріг|سینگ|sừng|uphondo|iwo|uphondo
tail|stert|bisht|Schwanz|tail|ذيل|quyruq|buztana|хваста|rep|опашка|cua|ikog|mchira|coda|ke|rep|hale|cola|vosto|saba|häntä|queue|sturt|earball|rabo|cynffon|ουρά|wutsiya|huelo|tus Tsov tus tw|farok|ọdụ|ekor|eireaball|skott|coda|buntut|құйрық|umurizo|куйрук|terrî|cauda|asti|uodega|Schwanz|опашка|ekor|rambo|denb|hiku|сүүл|staart|hale|قۇيرۇق|quyruq|لکۍ|دم|buntot|ogon|cauda|coadă|хвост|siʻusiʻu|Реп|mohatla|muswe|پڇ|chvost|rep|dabada|buntut|svans|mkia|дум|койрыгы|ocas|kuyruk|guýrugy|хвіст|دم|đuôi|umsila|iru|umsila
feather|veer|pendë|Feder|feather|ريشة|lələk|luma|пяро|pero|перо|ploma|balhibo|nthenga|piuma|plim|pero|fjer|pluma|plumo|sulg|sulka|la plume|fear|iteag|pluma|pluen|φτερό|gashin tsuntsu|hulu|plaub|madártoll|nku|bulu|cleite|fjöður|piuma|wulu|қауырсын|ibaba|мамык|perrîk|pluma|spalvu|plunksna|Fieder|пердув|bulu|volom-borona|rix|huruhuru|өд|veer|fjær|پەي|patlar|وزر|پر|balahibo|pióro|pena|pană|перо|fulufulu|перо|masiba|feather|پنڙو|pierko|pero|baal|bulu|fjäder|manyoya|пар|каурый|Pírko|tüy|ýelek|перо|پنکھ|lông vũ|iintsiba|iye|uphaphe
hair|hare|flokët|Haar|hair|شعر|saç|ilea|валасы|kosa|коса|cabell|buhok|tsitsi|capelli|cheve|dlaka|hår|cabello|haroj|juuksed|hiukset|Cheveu|hier|falt|pelo|gwallt|μαλλιά|gashi|lauoho|plaub hau|haj|ntutu|rambut|gruaig|hár|capelli|rambut|Шаш|umusatsi|чач|por|capillum|matiem|plaukai|Hoer|коса|rambut|dia singam-bolo|xagħar|makawe|үс|haar-|hår|چاچ|Soch|ويښتان|مو|buhok|włosy|cabelo|păr|волосы|lauulu|коса|moriri|bvudzi|وارن|vlasy|lasje|timaha|buuk|hår|nywele|мӯй|чәч|vlasy|saç|saç|волосся|بال|tóc|iinwele|irun|izinwele
head|kop|kokë|Kopf|head|رأس|baş|burua|галава|glava|глава|cap|ulo|mutu|capu|tèt|glava|hoved|cabeza|kapo|pea|pää|diriger|holle|ceann|cabeza|pen|κεφάλι|kai|poʻo|taub hau|fej|isi|kepala|ceann|höfuð|testa|sirah|бас|umutwe|баш|ser|caput|galva|galva|Kapp|главата|kepala|lohany|ras|upoko|толгой|hoofd|hode|head|bosh|سر|سر|ulo|głowa|cabeça|cap|глава|ulu|глава|hlooho|musoro|مٿو|hlava|glavo|madaxa|sirah|huvud|kichwa|сар|баш|hlava|kafa|kellesi|голова|سر|cái đầu|intloko|ori|ikhanda
ear|oor|veshit|Ohr|ear|أذن|qulaq|belarria|вуха|uho|ухо|orella|dalunggan|khutu|arechja|zòrèy|uho|øre|oído|orelo|kõrva|korva|oreille|ear|cluais|oído|glust|αυτί|kunne|pepeiao|pob ntseg|fül|ntị|telinga|chluas|eyra|orecchio|kuping|құлақ|ugutwi|кулак|gûh|auris|auss|ausis|Ouer|уво|telinga|sofina|widna|taringa|чих|oor|øre|قۇلاق|quloq|غوږ|گوش|tainga|ucho|orelha|ureche|ухо|taliga|уво|tsebe|nzeve|ڪن|ucho|uho|dhegta|ceuli|öra|sikio|гӯш|колак|ucho|kulak|gulak|вухо|کان|tai|indlebe|eti|indlebe
eye|oog|syri|Auge|eye|عين|göz|begi|вока|oko|око|ull|mata|diso|ochju|je|oko|øje|ojo|okulo|silma|silmä|œil|each|sùil|ollo|llygad|μάτι|ido|maka|qhov muag|szem|anya|mata|súil|auga|occhio|mripat|көз|ijisho|көз|çav|oculus|acs|akis|Aen|око|mata|maso|għajn|karu|нүд|oog|øye|eye|ko'z|سترګه|چشم|mata|oko|olho|ochi|глаз|mata|око|leihlo|ziso|اکيون|oko|oko|isha|panon|öga|jicho|чашм|күз|oko|göz|göz|око|آنکھ|con mắt|iliso|oju|iso
nose|neus|hundë|Nase|nose|الأنف|burun|sudurra|нос|nos|нос|nas|ilong|mphuno|nasu|nen|nos|næse|nariz|nazo|nina|nenä|nez|noas|sròn|nariz|trwyn|μύτη|hanci|ihu|ntswg|orr|imi|hidung|srón|nef|naso|irung|мұрын|izuru|мурун|poz|nasus|deguns|nosis|Nues|носот|hidung|orona|imnieħer|ihu|хамар|neus-|nese|بۇرۇن|burun|پوزه|بینی|ilong|nos|nariz|nas|нос|isu|нос|nko|mhino|نڪ|nos|nos|sanka|irung|näsa|pua|бинӣ|борын|nos|burun|burun|ніс|ناک|cái mũi|impumlo|imu|ikhala
mouth|mond|gojë|Mund|mouth|فم|Ağız|ahoa|рот|usta|устата|boca|baba|pakamwa|bocca|bouch|usta|mund|boca|buŝo|suu|suu|bouche|mûle|beul|boca|ceg|στόμα|bakin|waha|lub qhov ncauj|száj|ọnụ|mulut|béal|munni|bocca|cangkem|ауыз|umunwa|ооз|dev|os|mute|Burna|Mond|уста|mulut|vava|ħalq|waha|ам|mond|munn|ئېغىز|og'iz|خوله|دهان|bibig|usta|boca|gură|рот|gutu|уста|molomo|muromo|وات|ústa|usta|afka|sungut|mun|kinywa|даҳон|авыз|ústa|ağız|agzy|рот|منہ|mồm|umlomo|ẹnu|umlomo
tooth|tand|dhëmb|Zahn|tooth|سن|diş|hortza|зуба|zub|зъб|dent|ngipon|dzino|dente|dan|zub|tand|diente|dento|hammas|hammas|dent|tosk|fiacail|dente|dant|δόντι|hakori|niho|hniav|fog|eze|gigi|fiacail|tönn|dente|waos|тіс|iryinyo|тиш|diran|dente|zobs|dantis|Zännofdréck|заб|gigi|nify|sinna|niho|шүд|tand|tann|چىش|tish|غاښ|دندان|ngipin|ząb|dente|dinte|зуб|nifo|зуб|leino|zino|ڏند|zub|zob|ilig|huntu|tand|jino|дандон|теш|zub|diş|diş|зуба|دانت|răng|izinyo|ehin|izinyo
